;Dijkstra;A*;;A* / Dijkstra;Dijkstra / A*;
10;0,11;0,09;;0,818181818;1,222222222;keskeltä kulmaan
50;0,87;0,17;;0,195402299;5,117647059;
100;3,68;0,4;;0,108695652;9,2;
200;24,46;3,78;;0,154538021;6,470899471;
500;233,47;21,07;;0,090247141;11,08068344;
1000;1087,82;79,05;;0,072668272;13,76116382;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;Dijkstra;A*;;;;
10;0,01;0,01;;1;1;kulmasta keskelle
50;0,38;0,13;;0,342105263;2,923076923;
100;1,43;0,51;;0,356643357;2,803921569;
200;7,85;2,3;;0,292993631;3,413043478;
500;92,66;23,6;;0,254694582;3,926271186;
1000;410,01;74,92;;0,182727251;5,47263748;
2000;1910,69;280,94;;0,147035888;6,801060725;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;Dijkstra;A*;;;;kulmasta suoraan kulmaan
10;0,11;0,08;;0,727272727;1,375;
50;0,5;0,12;;0,24;4,166666667;
100;2,35;0,62;;0,263829787;3,790322581;
200;19,11;4;;0,209314495;4,7775;
500;155,38;25,27;;0,162633544;6,148793035;
1000;646,32;129,89;;0,20096856;4,975902687;
2000;3348,64;765,81;;0,228692842;4,372677296;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;Dijkstra;A*;;;;kulmasta ristikulmaan
10;0,03;0,02;;0,666666667;1,5;
50;0,68;0,29;;0,426470588;2,344827586;
100;3,52;1,88;;0,534090909;1,872340426;
200;18,45;7,28;;0,394579946;2,534340659;
500;198,53;77,13;;0,388505516;2,573966031;
1000;934,16;309,71;;0,331538494;3,016241;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;Keskeltä kulmaan;Kulmasta keskelle;Kulmasta kulmaan;Kulmasta ristikulmaan;Dijkstra;
10;0,11;0,01;0,11;0,03;;
50;0,87;0,38;0,5;0,68;;
100;3,68;1,43;2,35;3,52;;
200;24,46;7,85;19,11;18,45;;
500;233,47;92,66;155,38;198,53;;
1000;1087,82;410,01;646,32;934,16;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;Keskeltä kulmaan;Kulmasta keskelle;Kulmasta kulmaan;Kulmasta ristikulmaan;A*;
10;0,09;0,01;0,08;0,02;;
50;0,17;0,13;0,12;0,29;;
100;0,4;0,51;0,62;1,88;;
200;3,78;2,3;4;7,28;;
500;21,07;23,6;25,27;77,13;;
1000;79,05;74,92;129,89;309,71;;
